ID,PrimaryStreetSuffixName,CommonlyUsed,PostalServiceStandardSuffixAbbreviation
278,LIGHTS,LIGHTS,LGTS
279,LOAF ,LF,LF
280,LOAF ,LOAF,LF
281,LOCK ,LCK,LCK
282,LOCK ,LOCK,LCK
283,LOCKS,LOCKS,LCKS
284,LOCKS ,LCKS,LCKS
285,LODGE,LDGE,LDG
286,LODGE ,LDG,LDG
287,LODGE ,LODG,LDG
288,LODGE ,LODGE,LDG
289,LOOP ,LOOP,LOOP
290,LOOP ,LOOPS,LOOP
291,MALL,MALL,MALL
292,MANOR,MANOR,MNR
293,MANOR,MNR,MNR
294,MANORS,MANORS,MNRS
295,MANORS,MNRS,MNRS
296,MEADOW,MDW,MDW
297,MEADOW,MEADOW,MDW
298,MEADOWS,MDWS,MDWS
299,MEADOWS,MEADOWS,MDWS
300,MEADOWS,MEDOWS,MDWS
301,MEWS,MEWS,MEWS
302,MILL,MILL,ML
303,MILL,ML,ML
304,MILLS,MILLS,MLS
305,MILLS,MLS,MLS
306,MISSION,MISSION,MSN
307,MISSION,MSN,MSN
308,MISSION,MSSN,MSN
309,MISSION ,MISSN,MSN
310,MOTORWAY,MOTORWAY,MTWY
311,MOUNT,MNT,MT
312,MOUNT,MOUNT,MT
313,MOUNT,MT,MT
314,MOUNTAIN,MNTAIN,MTN
315,MOUNTAIN,MNTN,MTN
316,MOUNTAIN,MOUNTIN,MTN
317,MOUNTAIN,MTIN,MTN
318,MOUNTAIN ,MOUNTAIN,MTN
319,MOUNTAIN ,MTN,MTN
320,MOUNTAINS,MOUNTAINS,MTNS
321,MOUNTAINS ,MNTNS,MTNS
322,NECK,NCK,NCK
323,NECK,NECK,NCK
324,ORCHARD,ORCH,ORCH
325,ORCHARD,ORCHARD,ORCH
326,ORCHARD,ORCHRD,ORCH
327,OVAL,OVAL,OVAL
328,OVAL,OVL,OVAL
329,OVERPASS,OVERPASS,OPAS
330,PARK,PARK,PARK
331,PARK,PK,PARK
332,PARK,PRK,PARK
333,PARKS,PARKS,PARK
334,PARKWAY,PARKWAY,PKWY
335,PARKWAY,PARKWY,PKWY
336,PARKWAY,PKWAY,PKWY
337,PARKWAY,PKWY,PKWY
338,PARKWAY,PKY,PKWY
339,PARKWAYS,PARKWAYS,PKWY
340,PARKWAYS,PKWYS,PKWY
341,PASS,PASS,PASS
342,PASSAGE,PASSAGE,PSGE
343,PATH,PATH,PATH
344,PATH,PATHS,PATH
345,PIKE,PIKE,PIKE
346,PIKE,PIKES,PIKE
347,PINE,PINE,PNE
348,PINES,PINES,PNES
349,PINES,PNES,PNES
350,PLACE,PL,PL
351,PLACE,PLACE,PL
352,PLAIN,PLAIN,PLN
353,PLAIN,PLN,PLN
354,PLAINS,PLAINES,PLNS
355,PLAINS,PLAINS,PLNS
356,PLAINS ,PLNS,PLNS
357,PLAZA,PLAZA,PLZ
358,PLAZA,PLZA,PLZ
359,PLAZA ,PLZ,PLZ
360,POINT ,POINT,PT
361,POINT ,PT,PT
362,POINTS,POINTS,PTS
363,POINTS,PTS,PTS
364,PORT,PRT,PRT
365,PORT ,PORT,PRT
366,PORTS,PRTS,PRTS
367,PORTS ,PORTS,PRTS
368,PRAIRIE,PR,PR
369,PRAIRIE,PRR,PR
370,PRAIRIE ,PRAIRIE,PR
371,PRAIRIE ,PRARIE,PR
372,RADIAL,RAD,RADL
373,RADIAL,RADIAL,RADL
374,RADIAL,RADIEL,RADL
375,RADIAL,RADL,RADL
376,RAMP,RAMP,RAMP
377,RANCH,RANCH,RNCH
378,RANCH,RANCHES,RNCH
379,RANCH,RNCH,RNCH
380,RANCH,RNCHS,RNCH
381,RAPID,RAPID,RPD
382,RAPID,RPD,RPD
383,RAPIDS,RAPIDS,RPDS
384,RAPIDS,RPDS,RPDS
385,REST,REST,RST
386,REST,RST,RST
387,RIDGE,RDG,RDG
388,RIDGE,RDGE,RDG
389,RIDGE,RIDGE,RDG
390,RIDGES,RDGS,RDGS
391,RIDGES,RIDGES,RDGS
392,RIVER,RIV,RIV
393,RIVER,RIVER,RIV
394,RIVER,RIVR,RIV
395,RIVER,RVR,RIV
396,ROAD,RD,RD
397,ROAD ,ROAD,RD
398,ROADS,RDS,RDS
399,ROADS ,ROADS,RDS
400,ROUTE,ROUTE,RTE
401,ROW ,ROW,ROW
402,RUE ,RUE,RUE
403,RUN,RUN,RUN
404,SHOAL,SHL,SHL
405,SHOAL,SHOAL,SHL
406,SHOALS,SHLS,SHLS
407,SHOALS,SHOALS,SHLS
408,SHORE,SHOAR,SHR
409,SHORE,SHORE,SHR
410,SHORE,SHR,SHR
411,SHORES,SHOARS,SHRS
412,SHORES,SHORES,SHRS
413,SHORES,SHRS,SHRS
414,SKYWAY,SKYWAY,SKWY
415,SPRING,SPG,SPG
416,SPRING,SPNG,SPG
417,SPRING,SPRING,SPG
418,SPRING,SPRNG,SPG
419,SPRINGS,SPNGS,SPGS
420,SPRINGS,SPRINGS,SPGS
421,SPRINGS,SPRNGS,SPGS
422,SPRINGS ,SPGS,SPGS
423,SPUR,SPUR,SPUR
424,SPURS,SPURS,SPUR
425,SQUARE,SQ,SQ
426,SQUARE,SQR,SQ
427,SQUARE,SQRE,SQ
428,SQUARE,SQUARE,SQ
429,SQUARE ,SQU,SQ
430,SQUARES,SQRS,SQS
431,SQUARES ,SQUARES,SQS
432,STATION,STATION,STA
433,STATION,STATN,STA
434,STATION ,STA,STA
435,STATION ,STN,STA
436,STRAVENUE,STRAV,STRA
437,STRAVENUE,STRAVE,STRA
438,STRAVENUE,STRAVN,STRA
439,STRAVENUE,STRVN,STRA
440,STRAVENUE ,STRA,STRA
441,STRAVENUE ,STRAVEN,STRA
442,STRAVENUE ,STRAVENUE,STRA
443,STRAVENUE ,STRVNUE,STRA
444,STREAM,STREME,STRM
445,STREAM ,STREAM,STRM
446,STREAM ,STRM,STRM
447,STREET,ST,ST
448,STREET,STRT,ST
449,STREET ,STR,ST
450,STREET ,STREET,ST
451,STREETS,STREETS,STS
452,SUMMIT,SUMIT,SMT
453,SUMMIT,SUMMIT,SMT
454,SUMMIT ,SMT,SMT
455,SUMMIT ,SUMITT,SMT
456,TERRACE,TER,TER
457,TERRACE,TERR,TER
458,TERRACE,TERRACE,TER
459,THROUGHWAY,THROUGHWAY,TRWY
460,TRACE,TRACE,TRCE
461,TRACE,TRACES,TRCE
462,TRACE,TRCE,TRCE
463,TRACK,TRACK,TRAK
464,TRACK,TRACKS,TRAK
465,TRACK,TRAK,TRAK
466,TRACK,TRK,TRAK
467,TRACK,TRKS,TRAK
468,TRAFFICWAY,TRAFFICWAY,TRFY
469,TRAFFICWAY,TRFY,TRFY
470,TRAIL,TR,TRL
471,TRAIL,TRAILS,TRL
472,TRAIL,TRL,TRL
473,TRAIL,TRLS,TRL
474,TRAIL ,TRAIL,TRL
475,TUNNEL,TUNEL,TUNL
476,TUNNEL,TUNL,TUNL
477,TUNNEL,TUNLS,TUNL
478,TUNNEL,TUNNEL,TUNL
479,TUNNEL,TUNNELS,TUNL
480,TUNNEL ,TUNNL,TUNL
481,TURNPIKE,TPK,TPKE
482,TURNPIKE,TPKE,TPKE
483,TURNPIKE,TRPK,TPKE
484,TURNPIKE,TURNPIKE,TPKE
485,TURNPIKE,TURNPK,TPKE
486,TURNPIKE ,TRNPK,TPKE
487,UNDERPASS,UNDERPASS,UPAS
488,UNION,UN,UN
489,UNION,UNION,UN
490,UNIONS,UNIONS,UNS
491,VALLEY,VALLEY,VLY
492,VALLEY,VALLY,VLY
493,VALLEY,VLLY,VLY
494,VALLEY,VLY,VLY
495,VALLEYS,VALLEYS,VLYS
496,VALLEYS,VLYS,VLYS
497,VIADUCT,VDCT,VIA
498,VIADUCT,VIA,VIA
499,VIADUCT,VIADCT,VIA
500,VIADUCT,VIADUCT,VIA
501,VIEW,VIEW,VW
502,VIEW,VW,VW
503,VIEWS,VIEWS,VWS
504,VIEWS,VWS,VWS
505,VILLAGE,VILL,VLG
506,VILLAGE,VILLAGE,VLG
507,VILLAGE,VILLG,VLG
508,VILLAGE,VILLIAGE,VLG
509,VILLAGE,VLG,VLG
510,VILLAGE ,VILLAG,VLG
511,VILLAGES,VILLAGES,VLGS
512,VILLAGES,VLGS,VLGS
513,VILLE,VILLE,VL
